method: expEuler
test: test1
0.762 -1.03409 -2.58887 
0.763 -1.03046 -2.60078 
0.764 -1.02675 -2.61272 
0.765 -1.02298 -2.62471 
0.766 -1.01914 -2.63674 
0.767 -1.01522 -2.6488 
0.768 -1.01124 -2.66091 
0.769 -1.00718 -2.67306 
0.77 -1.00305 -2.68525 
0.771 -0.998845 -2.69748 
0.772 -0.994566 -2.70975 
0.773 -0.990212 -2.72206 
0.774 -0.985783 -2.73441 
0.775 -0.981278 -2.7468 
0.776 -0.976695 -2.75923 
0.777 -0.972035 -2.7717 
0.778 -0.967297 -2.78422 
0.779 -0.96248 -2.79677 
0.78 -0.957583 -2.80937 
0.781 -0.952605 -2.82201 
0.782 -0.947547 -2.83469 
0.783 -0.942407 -2.84741 
0.784 -0.937184 -2.86017 
0.785 -0.931877 -2.87298 
0.786 -0.926487 -2.88582 
0.787 -0.921012 -2.89871 
0.788 -0.915452 -2.91164 
0.789 -0.909805 -2.92461 
0.79 -0.904071 -2.93762 
0.791 -0.89825 -2.95067 
0.792 -0.89234 -2.96377 
0.793 -0.886341 -2.97691 
0.794 -0.880251 -2.99009 
0.795 -0.874071 -3.00331 
0.796 -0.8678 -3.01657 
0.797 -0.861435 -3.02988 
0.798 -0.854978 -3.04323 
0.799 -0.848427 -3.05662 
0.8 -0.841781 -3.07005 
0.801 -0.835039 -3.08353 
0.802 -0.828201 -3.09705 
0.803 -0.821266 -3.11061 
0.804 -0.814232 -3.12421 
0.805 -0.8071 -3.13786 
0.806 -0.799868 -3.15155 
0.807 -0.792536 -3.16528 
0.808 -0.785102 -3.17905 
0.809 -0.777566 -3.19287 
0.81 -0.769926 -3.20673 
0.811 -0.762183 -3.22063 
0.812 -0.754335 -3.23458 
